 updated model
   28.28427       28.28427       28.28427    
          13   8.407421     -0.5000016      0.3025393    
          13   7.286007      -1.854152      -1.421799    
          40   10.79947     -0.6075517      0.2437583    
          29   9.922915      -5.937188      -8.973973    
          13   12.09311      -5.812162       1.607091    
          13   13.71860       1.720574      -3.281719    
          13   12.86825      -2.075016      -1.109683    
          13   13.11867      -4.332921      -2.889571    
          29  -11.90497       6.216927      -4.004664    
          29  -10.50867       2.775137     -0.9933860    
          29  -8.198318       3.214725       1.579972    
          29  -13.93815       4.524531      -2.650987    
          29  -12.40953       1.036229      0.7713606    
          13  -12.10882       3.229217      -3.313590    
          29  -6.743639     -0.6852464     -0.7470851    
          13  -7.335976     -0.3265327      -5.192511    
          13  -8.381455       2.005309      -2.645836    
          13  -9.770467      0.5420807      -4.984472    
          13  -5.513796       3.537565      -3.140286    
          40  -1.370405       1.435275      -1.564008    
          29 -0.5165437       2.958300      -4.120034    
          29  -5.963213       1.048551      -3.232612    
          13  -1.711964       4.125625      -2.376689    
          13 -0.2183592       2.909482     -0.1935220    
          13  -3.168864      0.4075564      -3.529940    
          13  -3.240364       3.332617      -3.869452    
          13  -4.379666       1.699602      -1.525385    
          29  0.7824659       4.035144      -2.240358    
          29   4.467353       1.718305      -1.044226    
          13   1.521353     -0.1634845      -4.548700    
          13   2.317351       1.945811     -0.3091956    
          13   1.746826       3.608429      -4.366598    
          13   3.142193      0.4173358      -2.633230    
          13   3.662828       3.712819      -2.305724    
          29   8.156675       3.128317      -3.304404    
          29   4.280327       2.285076      -5.072797    
          29   7.794276      0.9503833      -3.953280    
          29   9.972914       4.152067      -1.207432    
          13   5.819211       3.108739      -3.030598    
          40  -13.20626       1.883888      -1.366524    
          29   13.16994       7.667515       1.340958    
          29   10.02144     -0.7685015      -4.041985    
          29  -14.13301     -0.1084595      -6.683500    
          29   12.87689       5.539496       2.385150    
