 updated model
   28.28450       28.28450       28.28450    
          40   8.216689       12.51056      -7.096246    
          40   6.578874      -13.42974      -3.223767    
          40   13.20908       5.408582      -9.521698    
          40  -6.178266       11.97550      -5.841621    
          40   8.391013      -1.114916      -3.405249    
          40  -13.96340      -1.405939       5.532115    
          40  -3.976415       6.342060      -6.936677    
          40   8.072107      -6.641906      -2.938007    
          40  -1.720052      -8.015182       6.672743    
          40   7.234394      -10.63464      -4.892404    
          40  -1.317839       6.465217      -11.83617    
          40   3.112120      -3.562518      -11.38857    
          40  -11.44901      -2.987236      -2.318845    
          40   7.057153      -9.514800      -6.482905    
          40   2.082129       6.599114       9.847172    
          40  -3.938825      -11.26290       12.69606    
          40  -10.68031       10.37105      -1.818413    
          40  -10.52406       10.44474      -10.47927    
          40   4.730300      -11.94377      -12.93649    
          40  -9.656689      -5.941398      -9.350961    
          40   12.29311       6.858152       2.880085    
          40   11.12152       6.550596       4.878636    
          40  -6.313477      -8.821911      -11.66109    
          40   4.964291      -4.945375      -1.629297    
          40  -5.181325       11.36151       4.508811    
          40   5.079813       5.155299      -7.406245    
          40   8.823403     -0.9376229       8.532854    
          40  -1.964609      -11.89967       3.767371    
          40   10.43353       4.843139      -2.101554    
          40  -11.93807      -7.450954      -13.11147    
          40  -14.03566      -7.079120      -8.158978    
          40   12.64705      -4.143670       11.35826    
          40   7.690177      -7.948363      -7.469291    
          40   9.808788       13.85435       5.785585    
          40  -11.16988      -6.206927      -6.874599    
          40  -13.49162      -13.28910      -2.529426    
          40  -10.86963       5.412219       10.74798    
          40   2.524451      -13.75769      -10.10048    
          40   8.422857       7.020467      -7.572852    
          40   6.879442       6.515054       3.899694    
          40  -12.77565      -5.059600       2.843123    
          40   9.019786      -2.015896      -5.982494    
          40   4.228388       10.94354      -2.368308    
          40  -2.486819       5.452907      -8.470127    
          40  -13.41207       13.16690       9.908991    
          40   1.266576      -11.52256       5.184772    
          40 -0.7774695       8.931762      -2.862274    
          40  -11.31581      -12.83031      -3.423869    
          40  -13.89205       4.466082      -4.788268    
          40   8.331300       5.843586       11.09519    
          40  -4.477886      -8.349842      -9.360327    
          40   5.583403      -1.737915      -2.661340    
          40   6.521467      -11.51194      -13.81444    
          40  -13.61166      -12.60833      -7.597737    
          40   5.815970      -2.986155      -4.325941    
          40   7.083673       9.388483      -13.03862    
          40  -3.838639      -5.034624       1.278941    
          40  -13.77536      -8.889976       9.270705    
          40  -3.282472      -5.771757      -11.14083    
          40  0.6604403      -13.47059       8.956571    
          40  -1.559620      -5.921283       4.055745    
          40  -3.890003       5.666512     -0.8096368    
          40   10.17727       1.772354      -10.96190    
          40  -6.865422      -1.416900       3.905438    
          40   5.361545      -7.259123       12.34196    
          40  -5.877729      -9.303378      -4.010368    
          40   11.30732       10.59145      -9.901006    
          40   13.90341       11.32460       2.270242    
          40   9.396779      -3.195367       3.296289    
          40   8.007318      -6.332699       9.783031    
          40   11.92441       10.04407      0.7828035    
          40   13.94779      -12.86926      -12.97449    
          40  -3.432874      -12.43068      -14.13006    
          40  -6.452959       1.125987      -14.13770    
          40   2.428413      -7.834659       5.384473    
          40  -7.513937       9.525757       12.31561    
          40  -13.42239       7.614186       13.19646    
          40   10.73137      -6.252599      -12.80768    
          40   13.35306       10.91911       6.498425    
          40   10.73442       7.565620       6.846248    
          40  -8.426019       5.143431       9.043272    
          40   12.29824      -2.341272      -2.623823    
          40  -8.591264     -0.6143831      -4.445060    
          40   8.728636       8.879664       13.83756    
          40  -12.46700       2.513091      -10.16012    
          40   11.77643      -9.450080      -11.13280    
          40   11.51536       3.915619       13.47884    
          40   1.329216       7.783844      -11.87397    
          40   1.918094      -8.229668       1.420869    
          40  -7.697376       5.988312      -7.936893    
          40  -12.73481      -3.784027      -7.245252    
          40  -7.783785      -6.465707       12.33002    
          40  -12.71527      -3.365065      -10.36108    
          40   3.125839      -12.93592       5.615001    
          40  -13.51715       12.06400       7.666613    
          40  -1.833221       2.901180       8.281281    
          40  -12.04803      7.3920712E-02   12.88155    
          40  -10.56394       5.475597       14.02042    
          40   9.539035      -9.809407       9.889112    
          40  -8.661001      -11.32897       4.610437    
          40  -6.239683      -6.652792      -7.062446    
          40  -7.605321       5.963878      -5.815000    
          40   7.287330      -5.991893       1.217218    
          40   7.093685       4.776132      0.6954985    
          40   3.400341      -12.22174       3.888955    
          40  -1.987119      -4.135475      0.5171378    
          40 -0.4027723     -0.6683411      -4.343386    
          40 -0.6247053      -1.204991      -6.274155    
          40  -9.746900      -2.476231      -13.55933    
          40  -5.048944       5.300665      -12.62720    
          40  -1.695790      -4.704407      -4.551124    
          40  -2.919310      -7.449368       9.541274    
          40  2.4535716E-02  -12.93093       6.090516    
          40   1.465691       5.847917       7.080096    
          40  -10.21164      -10.51972       2.765480    
          40   4.428358      -8.796962      -1.084743    
          40   5.934644       2.106707       3.536851    
          40   6.421154       1.061990      -4.891450    
          40   6.372751      -4.646697       3.738751    
